COD_ID;DIST;PAC_1;PAC_2;PAC_3;FAS_CON_P;FAS_CON_S;FAS_CON_T;SIT_ATIV;TIP_UNID;POS;ATRB_PER;TEN_LIN_SE;CAP_ELO;CAP_CHA;TAP;CONF;POSTO;POT_NOM;PER_FER;PER_TOT;DAT_CON;CTMT;UNI_TR_S;SUB;CONJ;MUN;BANC;TIP_TRAFO;MRT;DESCR;ARE_LOC;geometry;eu_dis_trs;dist_mar;main_r_dist;n_close_con;is_urb;closest_trd_i;closest_trd_dist;NODE;ENDNODE;g_degree;g_avg_ndeg;g_pagerank;dist_to_trs
11_1111490;46;393271;ET11_1111490;ET11_1111490;AB;AN;BN;AT;38;PD;1;0.23;05H;1;1.0;RA;PT;10.0;60.0;260.0;29/09/2010;1_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;MT;0; ;NU;POINT (606974.861981503 8773407.437115224);-1;82834.46873322886;8832.014192807053;1;False;707;139.71692581584486;39327;39536;1;3.0;6.0924359863638305e-06;27654.43999999999
1_1010209;46;534201;ET1_1010209;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;30/09/2010;3_SEAUA_1;2_SEAUA_1;SEAUA;15600;2800407;0;T;0; ;NU;POINT (647988.6910277288 8751195.475041715);-1;36750.78128045762;6305.058464479713;2;False;8729;97.71595962118764;53420;118080;2;1.5;1.5546549857239642e-05;4550.15
12_1120390;46;66851;ET12_1120390;ET12_1120390;AB;AN;BN;DS;38;PD;1;0.23;05H;1;1.0;RA;PT;5.0;50.0;160.0;23/09/2010;3_SEITI_1;1_SEITI_1;SEITI;15601;2807600;0;MT;0; ;NU;POINT (649521.0019950075 8742909.229084499);-1;30523.522344118766;8.47895618088617;0;False;9708;216.5756662807107;6685;57158;1;3.0;5.886050148943949e-06;25293.93999999999
11_1110048;46;327171;ET11_1110048;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;29/09/2010;1_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;UB;POINT (609287.9130487225 8763734.034130208);-1;75764.92595836947;154.2782179504603;212;True;4825;119.23722095806845;32717;39536;1;2.0;6.9747532947799715e-06;17777.060000000005
11_1110055;46;328171;ET11_1110055;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;29/09/2010;1_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;UB;POINT (608344.6230349763 8765043.458047502);-1;77230.92427282606;380.0135142173414;141;True;144;54.21754469533324;32817;39536;2;2.0;1.1788756512937153e-05;18601.13000000001
9_1090476;46;510661;ET9_1090476;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;30/09/2010;3_SEAUA_1;2_SEAUA_1;SEAUA;15600;2806305;0;T;0; ;NU;POINT (645973.9999669835 8751644.000080189);-1;38564.75285297282;7879.475795136491;1;False;8726;478.8149840167595;51066;118080;1;2.0;7.284332050909795e-06;7456.579999999999
5_1050322;46;43921;ET5_1050322;0;ABC;ABCN;0;AT;38;PD;1;0.22;2H;1;1.0;RA;PT;45.0;220.0;1000.0;23/09/2010;3_SECON_1;1_SECON_1;SECON;12730;2802106;0;T;0; ;NU;POINT (683579.192033413 8738042.697112512);-1;653.2288139276018;4941.164544988525;13;False;1591;80.72610117957244;4392;71128;2;2.0;1.239880876766357e-05;23891.83999999999
5_1050364;46;51521;ET5_1050364;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;23/09/2010;3_SEEST_1;1_SEEST_1;SEEST;15602;2802106;0;T;0; ;NU;POINT (685650.3860430839 8747261.984062666);-1;1250.043210392223;12002.244289692311;2;False;1245;163.30795683626414;5152;7640;2;2.5;1.0912509376209831e-05;29418.309999999976
9_1090475;46;518841;ET9_1090475;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;30/09/2010;3_SEAUA_1;2_SEAUA_1;SEAUA;15600;2806305;0;T;0; ;NU;POINT (645828.2410424184 8751187.910039924);-1;38383.42479254066;7647.1985163359495;2;False;10380;304.2076183251931;51884;118080;1;2.0;6.9747532947799715e-06;7258.5199999999995
5_1050400;46;53061;ET5_1050400;0;ABC;ABCN;0;AT;38;PD;1;0.22;2H;1;1.0;RA;PT;45.0;220.0;1000.0;23/09/2010;3_SEEST_1;1_SEEST_1;SEEST;15602;2802106;0;T;0; ;NU;POINT (683653.2460335217 8747818.949050857);-1;3322.239464287799;11460.241067485113;3;False;908;368.26746390192403;5306;7640;1;2.0;7.284332050909795e-06;32969.37999999996
5_1050409;46;63691;ET5_1050409;ET5_1050409;AB;AN;BN;AT;38;PD;1;0.23;05H;1;1.0;RA;PT;5.0;50.0;160.0;23/09/2010;3_SEEST_1;1_SEEST_1;SEEST;15602;2802106;0;MT;0; ;NU;POINT (674534.0569612326 8754201.531045534);-1;14324.094135658253;4148.292359335897;1;False;198;583.8830806166375;6369;7640;2;2.0;1.2098335269066976e-05;5262.419999999999
1_1010210;46;534191;ET1_1010210;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;30/09/2010;3_SEAUA_1;2_SEAUA_1;SEAUA;15600;2800407;0;T;0; ;NU;POINT (647891.4760427623 8751205.357119566);-1;36829.87960889081;6365.270248693012;1;False;8719;97.71595962118764;53419;118080;1;2.0;6.9747532947799715e-06;4647.87
11_1110035;46;476831;ET11_1110035;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;30/09/2010;3_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;UB;POINT (609829.3809798523 8763108.640041372);-1;74987.37459273923;669.4894307614811;118;True;231;58.06015235475211;47683;47972;1;2.0;7.284332050909795e-06;18106.860000000004
7_1070521;46;532231;ET7_1070521;ET7_1070521;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;30/09/2010;2_SEITI_1;1_SEITI_1;SEITI;15601;2803005;0;MT;0; ;NU;POINT (641413.2930053337 8755100.555045988);-1;44279.806470281255;8561.501537382552;1;False;3022;434.6288130944357;53223;54786;1;2.0;7.284332050909795e-06;11173.329999999993
7_1070414;46;542901;ET7_1070414;ET7_1070414;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;30/09/2010;2_SEITI_1;1_SEITI_1;SEITI;15601;2803005;0;MT;0; ;NU;POINT (634103.3379657723 8759891.72106364);-1;52970.74450240407;6155.837558290473;8;False;781;331.945751076996;54290;54786;2;2.0;1.2098335269066976e-05;6783.089999999999
7_1070447;46;549611;ET7_1070447;ET7_1070447;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;30/09/2010;2_SEITI_1;1_SEITI_1;SEITI;15601;2803005;0;MT;0; ;NU;POINT (632755.6659876762 8764179.451071488);-1;56762.83236517718;8863.476664405294;6;False;259;260.0202980172776;54961;54786;2;2.5;1.0706123538789948e-05;11743.590000000007
7_1070453;46;548831;ET7_1070453;ET7_1070453;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;30/09/2010;2_SEITI_1;1_SEITI_1;SEITI;15601;2803005;0;MT;0; ;NU;POINT (631966.0610091104 8763922.961085001);-1;57190.90290698983;8940.46088291565;4;False;265;270.55519729456324;54883;54786;1;2.0;7.284332050909795e-06;14075.500000000005
11_1110070;46;884571;ET11_1110070;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;29/09/2010;1_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;UB;POINT (608472.4359889668 8763558.774066949);-1;76392.64808109908;490.32941658151833;6;False;8339;253.50474428001147;88457;39536;1;2.0;7.284332050909795e-06;18803.94000000001
11_1110080;46;326381;ET11_1110080;0;ABC;ABCN;0;AT;38;PD;1;0.22;2H;1;1.0;RA;PT;45.0;220.0;1000.0;29/09/2010;1_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;UB;POINT (609513.0830361776 8763595.986121634);-1;75501.01104936568;97.20448711987954;152;True;134;71.41779022692936;32638;39536;1;2.0;7.175068960511033e-06;17317.069999999996
11_1110096;46;336361;ET11_1110096;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;29/09/2010;3_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;NU;POINT (614363.7390307634 8776364.339038914);-1;78246.0045062405;8597.93233625403;95;True;424;182.82322805394475;33636;47972;2;2.5;1.0912509376209831e-05;14825.62
11_1110103;46;335421;ET11_1110103;ET11_1110103;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;29/09/2010;3_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;MT;0; ;NU;POINT (612011.6129959219 8780452.296037728);-1;82017.17196484766;13272.34392237978;1;False;296;810.2896291316434;33542;47972;1;2.0;7.284332050909795e-06;20600.439999999988
11_1110109;46;396861;ET11_1110109;0;ABC;ABCN;0;AT;38;PD;1;0.22;05H;1;1.0;RA;PT;15.0;100.0;440.0;29/09/2010;1_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;NU;POINT (608869.4560280921 8782712.783125723);-1;85813.01758487461;16557.14153406129;53;True;8598;89.67506474868385;39686;39536;2;2.0;1.2098335269066976e-05;37691.099999999984
11_1110116;46;376241;ET11_1110116;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;29/09/2010;1_SESAQ_1;1_SESAQ_1;SESAQ;12737;2807402;0;T;0; ;NU;POINT (591384.2109722341 8785834.076130867);-1;102727.80208935498;27206.18693324241;114;True;798;65.85407845508722;37624;39536;2;2.5;1.0908462595083951e-05;50135.25999999995
